Mes,ID,Público,Nombre,Workflow,Link,Desempeño,Publicado,CLIENTES,Notas
8,AC08-1,USA,HVAC Vendedores 02,Enviado a MB,https://drive.google.com/file/d/1bxjseXvqxIZYypYjRPV7FoWXdgB26RHr/view?usp=drive_link,,No,Para buscar Vendedores,
8,AC08-2,Texas,General TX,Enviado a MB,https://drive.google.com/file/d/1nAg3CMhKgcBWz24-GhYpT3vw8ncg3ohY/view?usp=drive_link,,No,Cualquier región de TX,
8,AC08-3,USA,HVAC General 18,Enviado a MB,https://drive.google.com/file/d/1Jl7YbLPjNNjWKWrst5Wi3qeZKzlbEu1V/view?usp=drive_link,,No,Cualquier región de USA,
8,AC08-4,Texas,Mario Viejito-Houston TT,Enviado a MB,https://drive.google.com/file/d/1PnSe8u17p_KFqNvtrLL4BEk0X2vp2Tb7/view?usp=drive_link,,No,Clientes de Houston,
8,AC08-5,Texas,AIR REY Hombre 2 Dallas,Enviado a MB,https://drive.google.com/file/d/1JanF2Bulla4XgQQIUhf_XeSzeKwEwHfa/view?usp=drive_link,,No,AIR REY - DALLAS,
8,AC08-6,Texas,AIR-32 08,Enviado a MB,https://drive.google.com/file/d/18Y_o7mGPp6wYPPhqUatMP8XNazNCVknM/view?usp=drive_link,,No,AIR-32 - HOUSTON TX,
8,AC08-6.1,Texas,VAR. AIR-32 08,Enviado a MB,https://drive.google.com/file/d/1hAt3N9QUJg44nseI4tpYAJfjWW8LRyws/view?usp=drive_link,,No,AIR-32 - HOUSTON TX,
8,AC08-7,Texas,"General TX 02 ",Enviado a MB,https://drive.google.com/file/d/1zyhGYbBdjGAvoOoutp7JbUKUaZhJbbB1/view?usp=drive_link,,No,Cualquier región de TX,
8,AC08-8,Texas,STATE COOL 06,Enviado a MB,https://drive.google.com/file/d/1at0FOsOGs5p0jTpIv_gk_pi2KMwjIJFG/view?usp=drive_link,,No,STATE COOL - TX,
8,AC08-9,Texas,AIR-32 09,Enviado a MB,https://drive.google.com/file/d/1_Do2Xv7mADpNHzVooeS8tkoVtFyWcrsF/view?usp=drive_link,,No,AIR-32 - HOUSTON TX,
8,AC08-10,USA,Ingles General 01,Enviado a MB,https://drive.google.com/file/d/1Fxktkyjn8yYmjmQTgvBU_DwgWKqDF77n/view?usp=drivesdk,,No,Cualquier región de USA,
8,AC08-11,Texas,AIR REY TX 01,Enviado a MB,https://drive.google.com/file/d/1iOZgdoDE_Hb-RH3pIMjVRdyfNG7SYmAt/view?usp=drive_link,,No,AIR REY - TX,
8,AC08-12V,Texas,"General TX 03 ",VE- Revisión,https://drive.google.com/file/d/12G4VNBqswy7a2vLvCSLGZ_k63XmC8Ve2/view?usp=drive_link,,No,,VE : Vanesa
8,AC08-13V,Texas,AIR-32 REMAKE,VE- En Curso,https://drive.google.com/file/d/10KhgieMZo5rp5qzIVbnjczp0xoqF2UfX/view?usp=sharing,,No,,VE : Vanesa
8,AC08-14E,Texas,TX a la vanguardia 2.0,Enviado a MB,https://drive.google.com/file/d/1BgvUwuyrouQMfoS9vFJPBtaam7yZgLE6/view?usp=drive_link,,No,Cualquier región de TX,
8,AC08-15E,Texas,AIR REY TX 02,Enviado a MB,https://drive.google.com/file/d/11iFzL-aaujmSY6TAPXFWhjTovcI4V0rU/view?usp=drive_link,,No,AIR REY - TX,
8,AC08-16E,Texas,AIR-32 11,Enviado a MB,https://drive.google.com/file/d/14Bs3dQeVhCBjTlxiJLfnXRasHh2Ze0Cx/view?usp=drive_link,,No,AIR-32 - HOUSTON TX,
8,CA08-17E,USA,HVAC General 19,Enviado a MB,https://drive.google.com/file/d/1v_YWX4Sdp75xoX_8JLjw3uu7z4ox5QYJ/view?usp=drive_link,,No,Cualquier región de USA,
8,AC08-18V,Texas,AIR REY TX (LISTO PARA LA CALOR),VE- En Curso,https://drive.google.com/file/d/10PA-9jPrHLdL3n6dzTZihyEFHaT6GaO1/view?usp=sharing,,No,,
8,CA08-19V,Texas,AIR 32 TEMA NOTICIAS,VE- En Curso,https://drive.google.com/file/d/10JCYEvvIVhFDeTnefVEw0NomdtaUHrLO/view?usp=sharing,,No,,
8,CA08-20V,Texas,AIR-32 (NIÑOS DESIDRATADOS),VE- En Curso,https://drive.google.com/file/d/12ZTfC98oGEZxXT6mAPnjAqKirY4vO03S/view,,No,,
8,AC08-21V,Texas,AIR REY NO PIESES COMPRARLO,VE- En Curso,https://drive.google.com/file/d/1-pl0bZo0o4zLNuh210pN_QidEwRw9Mmh/view?usp=sharing,,No,,
8,AC08-22E,Texas,AIR-32 12,Enviado a MB,https://drive.google.com/drive/folders/1BPkps4ilTERQwvjpiV6N4oXc1RUv3--q?usp=drive_link,,No,,
8,AC08-23E,Texas,AIR REY Dallas 01,Enviado a MB,https://drive.google.com/file/d/1CTsuMks4wU2GEgPeoRq3FSB4ZkObkdHE/view?usp=drive_link,,No,,
8,AC08-24E,Texas,Alerta Houston,Enviado a MB,https://drive.google.com/file/d/1yp2OBUnkMi1lYcw2bLAzAssAkQBRsCCr/view?usp=drive_link,,No,,
8,AC08-25V,USA,MY MOM,VE- Revisión,https://drive.google.com/file/d/125pvHl9unOr9okExG2HkCTRl1L5b86Ba/view?usp=sharing,,No,,
8,AC08-26E,Texas,AIR REY Houston 01,Enviado a MB,https://drive.google.com/file/d/1EEoTnnE_zzBKVh4myPB5M_oOx2-vlrq_/view?usp=drive_link,,No,,
8,AC08-27E,USA,HVAC General 20,Enviado a MB,https://drive.google.com/file/d/1-9QBL3terjYp7xGIsQigoEM76nHWT4SQ/view?usp=drive_link,,No,,
8,AC08-28V,Texas,AIR REY AJUSTAR EL TERMOSTATO,VE- Revisión,https://drive.google.com/file/d/12NYd-A7e0cOODK_YpKR6pA956pzo5TbV/view?usp=sharing,,No,,
8,AC08-29V,USA,CAMBIAR TU HVAC?,VE- Revisión,https://drive.google.com/file/d/12yn6-4_4txCLVeJ3yUr6jOc3PDnrrKKO/view?usp=sharing,,No,,
8,AC08-3E,Texas,AIR-32 13,Enviado a MB,https://drive.google.com/file/d/1xBpKAViN8ehTypUzuRX-ivaK0fsJXhNz/view?usp=drive_link,,No,,
8,AC08-31V,USA,TOP 3 BENEFICIOS GENERAL,VE- Revisión,https://drive.google.com/file/d/12nPt9ePO6NfOX9iuULszDLRonCFtxZu_/view?usp=sharing,,No,,
